date,dmg_downloads,updater_downloads
2026-08-09,25,4
2026-08-10,29,7
2026-08-11,33,7
2026-08-12,33,7
2026-08-13,36,7
2026-08-14,37,7
2026-08-15,38,7
2026-08-16,38,7
2026-08-17,38,7
2026-08-18,38,7
2026-08-19,40,7
2026-08-20,42,7
2026-08-21,42,7
2026-08-22,42,7
2026-08-23,42,7
2026-08-24,42,7
2026-08-25,42,7
2026-08-26,42,7
2026-08-27,43,7
2026-08-28,43,7
2026-08-29,43,7
2026-08-30,43,7
2026-08-31,43,7
2026-09-01,43,7
2026-09-02,44,7
2026-09-03,44,7
2026-09-04,45,7
2026-09-05,45,7
2026-09-06,46,7
2026-09-07,47,7
2026-09-08,47,7
2026-09-09,48,7
2026-09-10,49,7
2026-09-11,49,7
